titulo;url;municipio;uf;categoria;latitude;longitude;tipo_localizacao;localizacao_confirmada;qtd_municipio;qtd_categoria;data
Colonel Abrams – Wikipédia, a enciclopédia livre;https://pt.wikipedia.org/wiki/Colonel_Abrams;Não Identificado;NI;Morte;-14.246635587399373;-51.92827826109216;municipio;True;75;199;2026-04-16 13:56:27.531243
Vídeo mostra PM empurrando sem-teto no chão após atropelamento e fugindo;https://g1.globo.com/mg/minas-gerais/noticia/2025/09/15/video-mostra-pm-empurrando-sem-teto-no-chao-apos-atropelamento-e-fugindo-sem-prestar-socorro-vitima-morreu.ghtml;Belo Horizonte;31;Outros;-19.903220907512292;-43.91081412177931;municipio;True;8;93;2025-09-15 00:00:00
"Sem-teto morre esmagado em caminhão de lixo e corpo é confundido com manequim; entenda o caso";https://www.maisgoias.com.br/mundo/sem-teto-morre-esmagado-em-caminhao-de-lixo-e-corpo-e-confundido-com-manequim-entenda-o-caso/;Imigrante;43;Morte;-29.34670360082174;-51.76333060540017;municipio;True;1;199;2025-09-19 17:45:34+00:00
Um homem sem-teto morreu em temperaturas congelantes na Madison Ave., em Toledo, levantando alarmes sobre a segurança no inverno e a escassez de abrigos.;https://pt.helm.news/2025-12-02/homeless-man-died-freezing-temps-toledos-madison-ave-raising-alarms-over.html;Toledo;41;Morte;-24.74007589220521;-53.726268906856326;municipio;True;1;199;2025-12-02 00:00:00
Sem-teto morre com R$ 4,5 milhões em conta bancária;https://extra.globo.com/noticias/page-not-found/sem-teto-morre-com-45-milhoes-em-conta-bancaria-22700212.html;Não Identificado;NI;Outros;-14.245936345079164;-51.93709526337488;municipio;True;75;93;2018-05-20 14:21:06-03:00
O motorista de aplicativo com covid-19 que foi despejado e morreu sem teto;https://www.terra.com.br/noticias/mundo/o-motorista-de-aplicativo-com-covid-19-que-foi-despejado-e-morreu-sem-teto,29282015b9f2293a06fdf45628acfcd2ovbgmpyv.html;Natal;24;Morte;-5.799014177336828;-35.21120893883601;municipio;True;3;199;2020-04-28 20:39:00
Sem-teto têm 3 vezes mais chances de morrer após ataque cardíaco;https://www.boasaude.com.br/noticias/13043/sem-teto-tem-3-vezes-mais-chances-de-morrer-apos-ataque-cardiaco.html;Não Identificado;NI;Violência;-14.246569274864962;-51.93601071139983;municipio;True;75;34;2026-04-16 13:56:52.172121
Um sem-teto de 35 anos morreu na...;https://www.facebook.com/sosbelohorizonte/posts/324007289732965/;Não Identificado;NI;Morte;-14.238246468920218;-51.91690878322668;municipio;True;75;199;2026-04-16 13:56:53.640640
Colega de sem-teto que morreu em SP após madrugada de frio relata dificuldade para conseguir vaga em abrigos;https://www.brasil247.com/regionais/sudeste/colega-de-sem-teto-que-morreu-em-sp-apos-madrugada-de-frio-relata-dificuldade-para-conseguir-vaga-em-abrigos;Passagem;25;Morte;-7.120509152193396;-37.02359038787172;municipio;True;3;199;2022-05-18 15:50:03+00:00
Estudante que gravou choques em sem-teto é filho de diretora do Detran;https://www.metropoles.com/brasil/estudante-que-gravou-choques-em-sem-teto-e-filho-de-diretora-do-detran;Belém;27;Violência;-9.58492058369212;-36.47332279476582;municipio;True;7;34;2026-04-16 13:56:56.262010
Cuiabanos lamentam morte de sem-teto que viralizou ao ajudar deficiente visual a atravessar rua;https://www.gazetadigital.com.br/editorias/cidades/cuiabanos-lamentam-morte-de-sem-teto-que-viralizou-ao-ajudar-deficiente-visual-a-atravessar-rua/804984;Porto;22;Morte;-3.8737502897971114;-42.6952979905699;municipio;True;4;199;2026-04-16 13:56:59.445717
“Me tira daqui”, pediu vítima antes de morrer engolida por prédio que desabou em SP;https://ndmais.com.br/noticias/me-tira-daqui-pediu-vitima-antes-de-morrer-engolida-por-predio-que-desabou-em-sp/;Estreito;21;Morte;-6.542589758307389;-47.42360423519939;municipio;True;1;199;2018-05-07 12:09:00-03:00
Onda de calor se intensifica na Europa;https://www.dw.com/pt-br/onda-de-calor-se-intensifica-na-europa/a-44958205;Barcelona;24;Morte;-5.949434302431084;-35.92993919484376;municipio;True;1;199;2026-04-16 13:57:10.557509
Tempestade de neve deixa ao menos quatro mortos na Espanha;https://www.gazetadopovo.com.br/mundo/breves/tempestade-neve-mortes-espanha/;Não Identificado;NI;Morte;-14.245048264330295;-51.91050371526963;municipio;True;75;199;2026-04-16 13:57:11.948286
Guaratinguetá: Andarilho é morto nesta segunda-feira (21) no bairro Tamandaré - CBN São José dos Campos;https://www.cbnvale.com.br/guaratingueta-andarilho-e-morto-nesta-segunda-feira-21-no-bairro-tamandare/;Guaratinguetá;35;Morte;-22.822131636631035;-45.18851716924454;municipio;True;1;199;2022-11-22 13:00:15+00:00
Homem é encontrado morto em varanda de bar no Nova Lima;https://www.campograndenews.com.br/cidades/capital/homem-e-encontrado-morto-em-varanda-de-bar-no-nova-lima;Nova Lima;31;Morte;-19.97530496534463;-43.86844214343441;municipio;True;1;199;2026-04-16 13:57:14.546796
Após atear fogo em pertences de andarilho, homem é encontrado morto;https://www.radiocacula.com.br/apos-atear-fogo-em-pertences-de-andarilho-homem-e-encontrado-morto/;Cardoso;35;Morte;-20.062990163031188;-49.923337493624615;municipio;True;1;199;2023-04-30 13:48:00-04:00
Andarilho morto a pauladas no Capão Raso;https://www.tribunapr.com.br/painel-do-crime/andarilho-morto-a-pauladas-no-capao-raso/;Não Identificado;NI;Morte;-14.222792278028681;-51.92353317918997;municipio;True;75;199;2003-07-02 19:33:18+00:00
